objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,sabrengisadminLim_Favelas_2019area,Shape__Area,Shape__Length
1,927,Comendador Lisboa,1,2053,Grota,2009/01/15 03:00:00+00,83,Madureira,15,Madureira,3.3,Madureira,3,119,39,IBGE - Censo Demográfico 2010,N,4320.87946509,4320.8794650681,350.780566564615
2,926,Parque da Comunidade Vila Arco Íris,1,2092,Colônia Juliano Moreira,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,404,119,IBGE - Censo Demográfico 2010,N,18062.7325197,18062.7325198627,805.545475738866
3,925,Vila Rio Grande,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,136,42,IBGE - Censo Demográfico 2010,N,8776.70158697,8776.70158697561,400.946769620364
4,924,Caminho Novo da Represa,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,74,24,IPP com base em IBGE - Censo Demográfico 2010,N,8997.76326848,8997.76326842251,602.18747923893
5,923,Caminho dos Calharins,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,110,27,IPP com base em IBGE - Censo Demográfico 2010,N,11867.3309666,11867.3309665204,528.673510369273
6,922,Estrada do Pau da Fome,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,91,28,IPP com base em IBGE - Censo Demográfico 2010,N,15430.0084184,15430.0084185178,935.003716772908
7,921,Santa Maria II,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,132,36,IPP com base em IBGE - Censo Demográfico 2010,N,7327.66725023,7327.66648275643,736.264381369952
8,920,Vila O - Conj. Vila Nova Cruzada,1,2101,Via O,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,342,128,IBGE - Censo Demográfico 2010,Cidade de Deus,9797.77712871,9797.78058821484,1330.6129496166
9,919,Vila da Conquista,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,278,80,IBGE - Censo Demográfico 2010,Cidade de Deus,46587.0997291,46587.093096178,2774.17799923566
10,918,Avenida Sampaio Correa,1,2092,Colônia Juliano Moreira,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,139,45,IBGE - Censo Demográfico 2010,N,24307.3185186,24307.318518592,1022.10762611938
11,917,Comunidade Campo da Paz,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,538,151,IBGE - Censo Demográfico 2010,N,14003.602538,14003.5945275629,927.711854203135
12,916,Caminho do Fincão,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,76,23,IPP com base em IBGE - Censo Demográfico 2010,N,15033.5771142,15033.5767076463,1286.06853277602
13,915,Caminho da Cachoeira,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,166,38,IBGE - Censo Demográfico 2010,N,19162.0601805,19162.0601802531,1552.16667625616
14,914,Estrada do Rio Pequeno (próxima à rua 1),2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,248,71,IBGE - Censo Demográfico 2010,N,5883.19665268,5883.19538903872,530.418168838839
